Date,"Total"
12/08/2022,"26.00"
12/10/2022,"12.20"
12/12/2022,"13.90"
12/14/2022,"11.40"
12/16/2022,"17.40"
12/18/2022,"12.20"
12/20/2022,"15.70"
12/22/2022,"14.30"
12/24/2022,"10.10"
12/26/2022,"11.10"
12/28/2022,"11.10"
12/30/2022,"15.80"
01/01/2023,"15.40"
01/03/2023,"10.00"
01/05/2023,"12.40"
