Date,"Total"
12/08/2022,"5.70"
12/10/2022,"4.90"
12/12/2022,"5.69"
12/14/2022,"4.91"
12/16/2022,"5.92"
12/18/2022,"5.74"
12/20/2022,"5.42"
12/22/2022,"4.19"
12/24/2022,"5.49"
12/26/2022,"4.40"
12/28/2022,"5.66"
12/30/2022,"5.60"
01/01/2023,"5.60"
01/03/2023,"5.13"
01/05/2023,"5.48"
