Date,"Total"
12/08/2022,"0.70"
12/10/2022,"0.46"
12/12/2022,"0.59"
12/14/2022,"0.60"
12/16/2022,"0.37"
12/18/2022,"0.56"
12/20/2022,"0.71"
12/22/2022,"0.94"
12/24/2022,"0.69"
12/26/2022,"0.40"
12/28/2022,"0.75"
12/30/2022,"0.99"
01/01/2023,"0.64"
01/03/2023,"0.76"
01/05/2023,"0.76"
